Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
B cells naive	0.981880806971931	0	0	0.000885878848909691	0	0.00250242821426965	0	0.00215183182719217	0.00206345790167904	0	0	0.00126156836289394	0.000507538271212352	0	0.00110316410133628	0	0.00334890448515949	0	0	0.00384278337808735	0.000451637637329058	0	9999	0.988721698916451	0.158499566121944
B cells memory	0.00768786657401127	0.980298739891145	0	0	0	0.00338509541421231	0	0	0.00236208598542825	0	0	0.00277453242215914	0.000290663393985026	0	0	0.000193250375429149	0.000817410824581685	0.000250641485956609	0	0.00193971363309125	0	0	9999	0.988901646682378	0.162015678393574
Plasma cells	0.0129553979819104	0.0233665150850466	0.842269128698633	0	0	0.0597744823940795	0.000838533959622793	0.000915824530331145	0.0218423416891604	0	0.0125401281201645	0	0.00394288826278282	0.00175306143138777	0.00367735249969305	0.00223324880892682	0.00323992981494686	0.00101878526715658	0.00132476716418488	0.00438742853160077	0.00392018576037205	0	9999	0.949314952949547	0.419492474630225
T cells CD8	0.000340295089518875	0	0.000225976086214044	0.991278356213039	0	0	0.00493601206538741	0	0	0	0	0	0.000410651867514599	0.000191716428531039	0.000493360826321691	0.000385005987662838	0.000194166289688559	0.000154992005586134	0.00060313924886172	0.000534680940443371	0	0.000251646951231054	9999	0.952053168117133	0.335583372876375
T cells CD4 naive	0.000343439966774263	0.000659213711483438	0.000188072834672857	0.00376089704152151	0.976157136969418	0.0133525542900452	0.00024892711440408	0.000117328570729946	0.00310086801133934	0	0	0.000165706801123074	0.000818223133702699	0.000152574566859892	2.80509375907352e-05	0.000363530368782618	0	5.23524698181166e-06	0	0	0.0004675074787916	7.07329557792924e-05	9999	0.991364837174274	0.245832283011454
T cells CD4 memory resting	0.000104889865222839	0	6.17377707745925e-05	0.0059018649864953	0.0144550477383486	0.973990160566102	0	0	0	0	0	0.00337916818858125	0.00143198924551505	0	0.000116007873144078	0	0.00016665246593629	0.000165705725267836	0.000102916275943398	0	0	0.000123859298668454	9999	0.990604618968509	0.290202273640075
T cells CD4 memory activated	0	0	9.00931049397697e-05	0.00444305441938489	0.00168746058019835	0	0.986927510192208	0	0.00352722224736992	0	0	0.00217379478512875	0.000749700714973561	0	0	0	0	0	0	0	0	0.000401163955796987	9999	0.979415419283351	0.437061285364868
T cells follicular helper	0.00178527155075973	0	0	0.0026951796084272	0	0	0.0003933883256064	0.97748124128188	0.00615355442473991	0.00392781505360035	0	0.00381128327188172	0	0.000263462826183469	0.000374869230062713	0	0.000243210772256244	0.000279530003069348	0.00181431773523965	0	0.000602532967889166	0.000174342948404548	9999	0.988853429375275	0.201773549357177
T cells regulatory (Tregs)	0	0	0	0.000964501130201489	0.0098679885995409	0	5.47670430892916e-05	0.000613715752140211	0.985526436350196	0.000430018933824587	0.000912488047864327	0	0	0	8.40931956501719e-05	0	0.000171074629641478	0	0.00134839613748265	0	0	2.65201803687494e-05	9999	0.992572168946148	0.18461880685096
T cells gamma delta	0	0	0.000429174081418294	0	0	0.000400616300392745	0	0	0	0.99726358403045	0	0	0	0.000538061356417017	0	0	0	0.000331391727405207	0.00103717250391624	0	0	0	9999	0.975807927753533	0.225456881749295
NK cells resting	0.00235634774186555	0	0	0.00631071050487036	0.00319156393275926	0.00282360445688718	0	0.000525238427542375	0.00659420413472988	0	0.96333715918173	0	0.00203291758827036	0.00229734278118803	0.000496010250510929	0.000346460788067215	0	0	0.00865944089344442	0	0.000663296344017418	0.000365702974116742	9999	0.985689070051067	0.19388336831659
NK cells activated	0.00568632894084198	0	0	0	0	0.0140070866556864	0.00980919227966499	0.0100388680578999	0.0143400502915188	0	0.0965771483924006	0.826209283341486	5.96554559788809e-05	0	0.00759239848967672	0	0.000143191524313344	0.00175111757515018	0.00447157073632337	0.000483855876786099	0.00699439773076756	0.00183585465150552	9999	0.993750832567302	0.269449078532368
Monocytes	0	0	0.000114306153999998	0	0.00106159434535785	0	0	0.000202184806118406	0	0.000396259729047483	0	0.000778303050412378	0.99622595419141	0	0	7.44437849057096e-05	0	0	0	0.00114695393874833	0	0	9999	0.97232896383248	0.301494700185359
Macrophages M0	0.000381603673104209	0	7.56840233833769e-06	0.000220676402957474	0	0.00144469517940656	0.000110070444736772	0	8.6708959431321e-05	0	0	5.88890576033396e-06	0.000425159268442539	0.994374356985047	5.37705792982559e-05	0.000703214862281295	0.000129909298410969	0.00117245434752854	0.000288282766787852	0	0	0.000595639924468802	9999	0.936595378086774	0.358448568716819
Macrophages M1	0	0.00180305984122978	7.12402274742115e-05	0	0	0.0224295399220609	0.00292819009705153	0	0	0	0.00666619850234646	0	0.006137115348437	0.00502831432255563	0.927381033369928	0.0102718159600851	0	0.0039532295484174	0.0105866605201374	0	0	0.00274360234027668	9999	0.996181120815834	0.44098633836916
Macrophages M2	0	0	0	0.000184931475444581	0.000344054323972655	0	0	0.000585703855555757	0	0.000267741914536492	0	0.000554525340042423	0	0	0	0.994431454278413	0	0	0	0.00363158881203485	0	0	9999	0.991448839011239	0.317014087937878
Dendritic cells resting	0.00063553593758354	0	6.89881078101306e-06	0.000206419725912889	0	0.00453139711472348	0	0	0.00211868894182574	0	0.000604207463248844	0	0.00054636998378393	0	0.000805336547515135	0	0.987485895895196	0.000413661899707333	0.00111874897449709	0.000781434593159498	3.32791179358958e-05	0.000712124994129611	9999	0.98967634943116	0.302659099436561
Dendritic cells activated	0	0.00191013321271636	0.000868250328346389	0.00373106246498817	0.0101151837422169	0	0.000120125686200687	0	0	0.000616257486862201	0	0.00213113401409108	0.00187315789727056	0	0	0.00294854449295827	0	0.970627109595059	0	0.00190210999662731	0.00315693108266345	0	9999	0.991394423706262	0.132625975716356
Mast cells resting	0.00174140016098364	0	0.000673803012583998	0.00051572535551364	0.000575375534918711	0	0.00558127878083446	0	0	0	0.00136472580251481	0.000296107091527625	0.00239786209597002	0.0045433565065959	0.0002372964814465	0.00369637286514937	0	0	0.956513374168851	0.00478800071312483	0.0170753214299851	0	9999	0.948261459076281	0.327773927412923
Mast cells activated	0.00381107097451694	0	0	0.000838377432290804	0	0.00047432554771113	0.00928035034619432	0.00059535489726327	0	0.00107018561663432	0	0	0.00203189635379509	0.00573884535632046	0.000218841114947901	0.00376430072974122	0.00102635258587834	5.95584605838671e-05	0.0599583641568227	0.885034956610918	0.0260972198163818	0	9999	0.977402982742952	0.236151327903115
Eosinophils	0	0	0.000210433891689677	0	0	0	0	0.000953702576901493	0	0	0	0.00775993799163362	0.000377740342281947	0	0	0	0	0.000514587246334433	0	0.00854785557497619	0.981635742376183	0	9999	0.99676949617926	0.153096647684158
Neutrophils	0	0.00122286185618324	0.000988040203034913	0	0.00214497947406701	0	0.00266464126568605	0.00324122858422995	0	0.00179855718222944	0	8.097403507096e-05	0.00314743238619564	0	0	0	0	0.00303673230428106	0.0125703713587904	0	0	0.969104181350231	9999	0.99246219323013	0.228655927496208
